2512,Metal Furniture Manufacturing,251
2513,Mattress Manufacturing,251
2519,Other Furniture Manufacturing,251
2591,Jewellery and Silverware Manufacturing,259
2592,"Toy, Sporting and Recreational Product Manufacturing",259
2599,Other Manufacturing n.e.c.,259
2611,Fossil Fuel Electricity Generation,261
2612,Hydro-electricity Generation,261
2619,Other Electricity Generation,261
2620,Electricity Transmission,262
2630,Electricity Distribution,263
2640,On Selling Electricity and Electricity Market Operation,264
2700,Gas Supply,270
2811,Water Supply,281
2812,Sewerage and Drainage Services,281
2911,Solid Waste Collection Services,291
2919,Other Waste Collection Services,291
2921,Waste Treatment and Disposal Services,292
2922,Waste Remediation and Materials Recovery Services,292
3011,House Construction,301
3019,Other Residential Building Construction,301
3020,Non-Residential Building Construction,302
3101,Road and Bridge Construction,310
3109,Other Heavy and Civil Engineering Construction,310
3211,Land Development and Subdivision,321
3212,Site Preparation Services,321
3221,Concreting Services,322
3222,Bricklaying Services,322
3223,Roofing Services,322
3224,Structural Steel Erection Services,322
3231,Plumbing Services,323
3232,Electrical Services,323
3233,Air Conditioning and Heating Services,323
3234,Fire and Security Alarm Installation Services,323
3239,Other Building Installation Services,323
3241,Plastering and Ceiling Services,324
3242,Carpentry Services,324
3243,Tiling and Carpeting Services,324
3244,Painting and Decorating Services,324
3245,Glazing Services,324
3291,Landscape Construction Services,329
3292,Hire of Construction Machinery with Operator,329
3299,Other Construction Services n.e.c.,329
3311,Wool Wholesaling,331
3312,Cereal Grain Wholesaling,331
3319,Other Agricultural Product Wholesaling,331
3321,Petroleum Product Wholesaling,332
3322,Metal and Mineral Wholesaling,332
3323,Industrial and Agricultural Chemical Product Wholesaling,332
3331,Timber Wholesaling,333
3332,Plumbing Goods Wholesaling,333
3339,Other Hardware Goods Wholesaling,333
3411,Agricultural and Construction Machinery Wholesaling,341
3419,Other Specialised Industrial Machinery and Equipment Wholesaling,341
3491,Professional and Scientific Goods Wholesaling,349
3492,Computer and Computer Peripherals Wholesaling,349
3493,Telecommunication Goods Wholesaling,349
3494,Other Electrical and Electronic Goods Wholesaling,349
3499,Other Machinery and Equipment Wholesaling n,349
3501,Car Wholesaling,350
3502,Commercial Vehicle Wholesaling,350
3503,Trailer and Other Motor Vehicle Wholesaling,350
3504,Motor Vehicle New Part Wholesaling,350
3505,Motor Vehicle Dismantling and Used Part Wholesaling,350
3601,General Line Groceries Wholesaling,360
3602,"Meat, Poultry and Smallgoods Wholesaling",360
3603,Dairy Produce Wholesaling,360
3604,Fish and Seafood Wholesaling,360
3605,Fruit and Vegetable Wholesaling,360
